1	Cohesive	B2B · Sales		AI growth engine for local service sales	面向本地服务业销售的 AI 增长引擎
2	Docket	B2B · Engineering		AI-powered QA testing for real apps	面向真实应用的 AI 质量测试
3	Godela	Industrials · Engineering		AI physics engine for engineers	面向工程师的 AI 物理引擎
4	BitPatrol	B2B · Security		AI secret scanning for code repositories	面向代码仓库的 AI 密钥扫描
5	Aegis	Healthcare		AI denial management for healthcare	医疗拒赔管理的 AI
6	Cascade Space	Industrials · Space		Deep space communications for spacecraft	面向航天器的深空通信
7	Bond	B2B · Productivity		AI chief of staff for executives	面向高管的 AI 幕僚长
8	Blueshoe	B2B · Legal		Legal counsel network with AI intake	带 AI 接案的法律顾问网络
9	sieve	B2B · Data		AI extraction for messy documents	面向杂乱文档的 AI 抽取
10	Airweave	B2B · Infrastructure		Open-source context retrieval for agents	面向智能体的开源上下文检索
11	Theorem	B2B · AI		AI lab for program verification	面向程序验证的 AI 实验室
12	text.ai	Consumer · Social		Social AI for group chats	面向群聊的社交 AI
13	StarSling	B2B · Dev Tools		AI-native GitHub Actions CI optimization	AI 原生的 GitHub Actions CI 优化
14	Wavedash	Consumer · Gaming		Browser-native gaming with zero input lag	零延迟的浏览器原生游戏
15	Cactus	B2B · Voice		AI call answering for trades	面向技工行业的 AI 接听来电
16	LineWise	Industrials		Job-specific utility products for the utility industry	面向电力行业一线的专用工具产品
17	Code Four	B2B · Government		AI tools for law enforcement reports	面向执法报告的 AI 工具
18	Lumari	B2B · Supply Chain		AI supply chain platform for direct procurement	面向直接采购的 AI 供应链平台
19	mlop	B2B · Dev Tools		Open-source MLOps for experiment tracking	面向实验追踪的开源 MLOps
20	Den	B2B · Productivity		AI workspace for building agents fast	快速搭建智能体的 AI 工作空间
21	Propolis	B2B · Engineering		Autonomous browser agents for QA testing	面向 QA 测试的自主浏览器智能体
22	Cotool	B2B · Security		AI agents for blue team security	面向蓝队安全的 AI 智能体
23	Nimbic AI	B2B · Dev Tools		AI documentation and code analysis	AI 文档与代码分析
24	Moby Analytics	B2B · Finance		AI audit workflows inside Excel	在 Excel 内运行的 AI 审计工作流
25	Rimba	Industrials · Compliance		AI compliance and industrial data automation	AI 合规与工业数据自动化
26	WorkDone	Healthcare		Advanced automation for business process optimization	面向业务流程优化的高级自动化
27	Probo	B2B · Compliance		Managed compliance with audit-ready operators	由审计就绪团队托管的合规服务
28	MindFort	B2B · Security		Autonomous AI pentesting for live systems	面向在线系统的自主 AI 渗透测试
29	chrt	B2B · Logistics		Time-critical logistics platform	面向时效敏感运输的物流平台
30	Mesmer	B2B · Engineering		AI diagnostics for engineering bottlenecks	面向工程瓶颈的 AI 诊断
31	Relixir	B2B · Marketing		Automated GEO optimization for AI search	面向 AI 搜索的自动化 GEO 优化
32	Janus (Kairos)	B2B · Infrastructure		AI deployment layer for critical industries	面向关键行业的 AI 部署层
33	Hemut	B2B · Logistics		AI freight operations partner for carriers	面向承运商的 AI 货运运营伙伴
34	Zero	Consumer		Open-source email app prioritizing privacy	隐私优先的开源邮件应用
35	ValueMate	Real Estate		Appraisal software for appraisers	面向评估师的估价软件
36	Bramante Biologics	Healthcare		Life sciences instruments for automated labs	面向自动化实验室的生命科学仪器
37	Scalar Field	Fintech		AI agentic trading desk	AI 智能体交易台
38	Eloquent AI	Fintech		AI operator for regulated financial services	面向受监管金融服务的 AI 操盘手
39	MorphoAI	B2B · Data		AI-driven solutions for data transformation	面向数据转换的 AI 方案
40	Vassar Robotics	Industrials · Robotics		Open-source semi-humanoid robot kits	开源的半人形机器人套件
41	Boost Robotics	Industrials · Robotics		Autonomous robots for data centers	面向数据中心的自主机器人
42	Sygaldry Technologies	Industrials · Infrastructure		Quantum-accelerated AI servers	量子加速的 AI 服务器
43	ParaQuery	B2B · Infrastructure		Scalable GPU-era Spark and SQL	面向 GPU 时代的可扩展 Spark 与 SQL
44	Klavis AI	B2B · AI		Live environments for AI agent training	面向 AI 智能体训练的实时环境
45	Third Chair	B2B · Legal		AI for music IP monitoring and licensing	面向音乐版权监测与授权的 AI
46	Vesence	B2B		AI for Microsoft Office professional services	面向 Office 专业服务的 AI
47	PowerMatrix	Industrials · Hardware		Power delivery tech for AI hardware	面向 AI 硬件的供电技术
48	Jazzberry	B2B · AI		RL environments for frontier model training	面向前沿模型训练的强化学习环境
49	Besimple AI	B2B · AI		Licensed audio data for voice AI	面向语音 AI 的授权音频数据
50	Alkali	Real Estate & Construction		AI steel takeoff software for estimators	面向预算员的 AI 钢材算量软件
51	Human Behavior	B2B · Analytics		AI-native product analytics from session replays	基于回放录像的 AI 原生产品分析
52	QualGent	B2B · Engineering		Autonomous QA agent for mobile apps	面向移动应用的自主 QA 智能体
53	Prism AI	B2B · Content		AI media workspace for video and image creation	面向视频与图像创作的 AI 媒体工作空间
54	Novoflow	Healthcare		AI employees for medical clinics	面向诊所的 AI 数字员工
