1	Nox Metals	Industrials · Manufacturing		AI-powered aluminum plate supplier	AI 驱动的铝板供应商
2	Blue	Consumer		ChatGPT-powered voice assistant for iPhone	由 ChatGPT 驱动的 iPhone 语音助手
3	Paloma	B2B		Embedded AI software for manufacturers	面向制造商的嵌入式 AI 软件
4	Uplift AI	B2B · Voice		Pakistani language AI voice models	巴基斯坦语种的 AI 语音模型
5	RealRoots	Consumer · Social		Matched friendship groups for women 21+	为 21 岁以上女性匹配的交友小组
6	Luminal	B2B · Infrastructure		Fastest AI inference cloud service	最快的 AI 推理云服务
7	Freya Voice A.I.	B2B · Voice		AI voice agents for enterprise calls	面向企业通话的 AI 语音智能体
8	Getburnt	B2B · Supply Chain		AI agents for food distribution	食品分销的 AI 智能体
9	Avent	B2B		AI agents for industrial commerce	工业商贸的 AI 智能体
10	Veritus	Fintech · Lending		AI agents for consumer lending services	消费信贷服务的 AI 智能体
11	Outrove	B2B · Recruiting		Autonomous AI recruiter for hiring workflows	自主化的 AI 招聘官
12	NOSO	Industrials		AI agents for field service teams	现场服务团队的 AI 智能体
13	Vulcan Technologies	B2B · Legal		AI legal tech for government agencies	面向政府机构的 AI 法律科技
14	Spotlight Realty	Real Estate		AI-powered NYC realty brokerage	AI 驱动的纽约房产经纪
15	Interfere	B2B · Engineering		Self-healing production visibility for shipped software	上线软件的自愈式生产可见性
16	Munify	Fintech · Payments		Borderless banking for cross-border payments	面向跨境支付的无国界银行
17	RowFlow	B2B · Operations		AI-driven conversational data collection	AI 对话式数据采集平台
18	Tecto	B2B		AI governance platform	AI 治理平台
19	Duranium	Industrials · Manufacturing		Metal reactor tech for U.S. independence	面向美国自给的金属冶炼反应器技术
20	Perspectives Health	Healthcare		AI for behavioral health approvals	面向行为健康审批的 AI
21	Modelence	B2B · Infrastructure		Full-stack AI app builder for production apps	面向生产级应用的全栈 AI 应用搭建器
22	Magnetic	B2B · Finance		AI tax prep for CPA firms	面向会计师事务所的 AI 报税
23	Fleetline	B2B · Logistics		AI dispatch engine for trucking fleets	卡车车队的 AI 调度引擎
24	Clodo	B2B · Recruiting		Planet-scale AI people search	全球规模的 AI 人才搜索
25	stagewise	B2B · Dev Tools		Open-source agentic IDE for developers	面向开发者的开源智能体 IDE
26	Flywheel AI	Industrials · Robotics		Remote excavator control for construction	面向工程的挖掘机远程操控
27	Vibe Code Go	B2B · Dev Tools		Mobile app for coding on the go	随时随地写代码的移动应用
28	Juxta	B2B		Universal Positioning System for precise tracking	用于精准定位的通用定位系统
